Code;Structure;Hemisphere;Structure mass(g);Cells;%NeuN+
J0;Cortex (Anterior);Whole;24;2681250;38.70%
J0;Cortex (Posterior);Left;66;3125000;44.93%
J0;Cortex (Posterior);Right;0.06;5675000;37.79%
J0;Cortex (Posterior);Whole;126;8800000;40.33%
J0;Hippocampus;Left;17;2050000;35.57%
J0;Hippocampus;Right;19;2481250;34.94%
J0;Olfactory Bulb;Whole;18;5859375;50.47%
J0;Rest of Brain;Whole;136;14906250;26.69%
J1;Cerebellum;Whole;64;43425000;84.30%
J1;Cortex (Anterior);Left;15;1112500;44.47%
J1;Cortex (Anterior);Right;15;2015625;29.60%
J1;Cortex (Anterior);Whole;0.03;3128125;34.89%
J1;Cortex (Posterior);Left;75;8100000;37.52%
J1;Cortex (Posterior);Right;46;4398438;50.00%
J1;Cortex (Posterior);Whole;121;12498438;41.91%
J1;Hippocampus;Left;19;1262500;35.42%
J1;Hippocampus;Right;0.02;2418750;33.53%
J1;Olfactory Bulb;Whole;17;4150000;62.88%
J1;Rest of Brain;Whole;119;9431250;20.40%
J2;Cerebellum;Whole;64;45925000;87.67%
J2;Cortex (Anterior);Left;18;1382813;38.39%
J2;Cortex (Anterior);Right;18;2039063;40.96%
J2;Cortex (Anterior);Whole;36;3421876;39.92%
J2;Cortex (Posterior);Left;69;7265625;35.24%
J2;Cortex (Posterior);Right;71;6675000;51.25%
J2;Cortex (Posterior);Whole;0.14;13940625;42.91%
J2;Hippocampus;Right;13;1812500;29.84%
J2;Olfactory Bulb;Whole;12;4609375;54.06%
J2;Rest of Brain;Whole;123;8250000;34.82%
J3;Cerebellum;Whole;66;53650000;84.69%
J3;Cortex (Anterior);Left;13;1775000;33.93%
J3;Cortex (Anterior);Right;16;2507813;47.53%
J3;Cortex (Anterior);Whole;29;4282813;41.90%
J3;Cortex (Posterior);Left;72;6453125;45.19%
J3;Cortex (Posterior);Right;65;6289062;50.75%
J3;Cortex (Posterior);Whole;137;12742187;47.94%
J3;Hippocampus;Left;14;1756250;38.70%
J3;Hippocampus;Right;12;1906250;48.88%
J3;Olfactory Bulb;Whole;16;6200000;72.64%
J3;Rest of Brain;Whole;155;9012500;29.54%
J4;Cerebellum;Whole;82;46925000;87.87%
J4;Cortex (Anterior);Left;0.02;1781250;47.01%
J4;Cortex (Anterior);Right;19;2375000;36.89%
J4;Cortex (Anterior);Whole;39;4156250;41.23%
J4;Cortex (Posterior);Left;64;8734375;46.63%
J4;Cortex (Posterior);Right;0.07;3242188;45.45%
J4;Cortex (Posterior);Whole;134;11976563;46.31%
J4;Hippocampus;Left;11;1612500;41.79%
J4;Hippocampus;Right;0.02;2601253;47.21%
J4;Olfactory Bulb;Whole;14;3462500;68.90%
J4;Rest of Brain;Whole;136;8987500;39.62%
K0;Cerebellum;Whole;79;49925000;84.79%
K0;Cortex (Anterior);Left;12;1931250;42.51%
K0;Cortex (Anterior);Right;11;1431250;39.45%
K0;Cortex (Anterior);Whole;23;3362500;41.21%
K0;Cortex (Posterior);Left;72;6056250;40.60%
K0;Hippocampus;Left;16;1612500;39.44%
K0;Hippocampus;Right;13;1468750;37.21%
K0;Olfactory Bulb;Whole;12;6871875;58.44%
K0;Rest of Brain;Whole;121;12703125;29.26%
K1;Cerebellum;Whole;79;51125000;84.79%
K1;Cortex (Anterior);Left;7;1192500;52.65%
K1;Cortex (Anterior);Right;13;1640625;38.92%
K1;Cortex (Anterior);Whole;0.02;2833125;44.70%
K1;Cortex (Posterior);Left;75;5446875;40.74%
K1;Cortex (Posterior);Right;67;5193750;41.41%
K1;Cortex (Posterior);Whole;142;10640625;41.07%
K1;Hippocampus;Left;13;1080000;37.65%
K1;Hippocampus;Right;16;1331250;34.00%
K1;Olfactory Bulb;Whole;14;6553125;55.95%
K1;Rest of Brain;Whole;115;9265625;25.78%
K2;Cerebellum;Whole;75;50175000;87.99%
K2;Cortex (Anterior);Left;4;1081250;46.81%
K2;Cortex (Anterior);Right;13;1481250;31.26%
K2;Cortex (Anterior);Whole;17;2562500;37.82%
K2;Cortex (Posterior);Left;62;4200000;38.25%
K2;Cortex (Posterior);Right;63;5737500;39.81%
K2;Cortex (Posterior);Whole;125;9937500;39.15%
K2;Hippocampus;Left;13;1531250;29.00%
K2;Hippocampus;Right;0.01;1390625;44.47%
K2;Olfactory Bulb;Whole;15;7106250;59.45%
K2;Rest of Brain;Whole;122;14118750;30.08%
K3;Cerebellum;Whole;55;47400000;88.50%
K3;Cortex (Anterior);Left;3;1381250;33.27%
K3;Cortex (Anterior);Right;3;1228125;34.50%
K3;Cortex (Anterior);Whole;6;2609375;33.85%
K3;Cortex (Posterior);Left;73;6768750;39.10%
K3;Cortex (Posterior);Right;75;6290625;38.39%
K3;Cortex (Posterior);Whole;148;13059375;38.75%
K3;Hippocampus;Left;8;979166;53.88%
K3;Hippocampus;Right;11;1659375;32.07%
K3;Olfactory Bulb;Whole;14;6200000;59.02%
K3;Rest of Brain;Whole;122;16362500;27.15%
K4;Cerebellum;Whole;0.06;49225000;89.96%
K4;Cortex (Anterior);Left;12;1603125;47.72%
K4;Cortex (Anterior);Right;11;1275000;45.19%
K4;Cortex (Anterior);Whole;23;2878125;46.60%
K4;Cortex (Posterior);Left;66;8371875;35.86%
K4;Cortex (Posterior);Right;64;3712500;40.78%
K4;Cortex (Posterior);Whole;0.13;12084375;37.37%
K4;Hippocampus;Left;12;2053125;42.36%
K4;Hippocampus;Right;14;1706250;33.60%
K4;Olfactory Bulb;Whole;14;3290625;79.29%
K4;Rest of Brain;Whole;124;15318750;25.70%
L0;Cerebellum;Whole;62;46500000;90.98%
L0;Cortex (Anterior);Left;13;1793750;48.64%
L0;Cortex (Anterior);Right;7;1356250;33.46%
L0;Cortex (Anterior);Whole;0.02;3150000;42.11%
L0;Cortex (Posterior);Left;69;5693750;41.73%
L0;Cortex (Posterior);Right;87;5968750;48.21%
L0;Cortex (Posterior);Whole;156;11662500;45.05%
L0;Hippocampus;Left;13;2275000;46.23%
L0;Hippocampus;Right;12;2406250;39.34%
L0;Olfactory Bulb;Whole;7;4859375;53.13%
L0;Rest of Brain;Whole;118;7975000;38.57%
L1;Cerebellum;Whole;0.05;45200000;86.79%
L1;Cortex (Anterior);Left;6;1368750;50.59%
L1;Cortex (Anterior);Right;9;2168750;31.49%
L1;Cortex (Anterior);Whole;15;3537500;38.88%
L1;Cortex (Posterior);Left;64;8712500;46.40%
L1;Cortex (Posterior);Right;57;2831250;53.68%
L1;Cortex (Posterior);Whole;121;11543750;48.19%
L1;Hippocampus;Left;14;2300000;34.78%
L1;Hippocampus;Right;12;1950000;38.81%
L1;Olfactory Bulb;Whole;6;3650000;41.24%
L1;Rest of Brain;Whole;97;8687500;38.64%
L2;Cerebellum;Whole;58;43400000;85.82%
L2;Cortex (Anterior);Left;15;2156250;37.72%
L2;Cortex (Anterior);Right;11;2203125;42.13%
L2;Cortex (Anterior);Whole;26;4359375;39.95%
L2;Cortex (Posterior);Left;63;2453125;50.00%
L2;Cortex (Posterior);Right;58;3039063;45.70%
L2;Cortex (Posterior);Whole;121;5492188;47.62%
L2;Hippocampus;Left;17;3195313;40.90%
L2;Hippocampus;Right;15;2662500;55.07%
L2;Olfactory Bulb;Whole;4;3046875;40.58%
L2;Rest of Brain;Whole;0.11;8975000;36.72%
L3;Cerebellum;Whole;0.06;48475000;19.20%
L3;Cortex (Anterior);Left;13;2243750;38.95%
L3;Cortex (Anterior);Right;9;1206250;38.07%
L3;Cortex (Anterior);Whole;22;3450000;38.64%
L3;Cortex (Posterior);Left;69;5000000;47.34%
L3;Cortex (Posterior);Right;61;3756250;44.62%
L3;Cortex (Posterior);Whole;0.13;8756250;46.17%
L3;Hippocampus;Left;16;2117188;33.00%
L3;Hippocampus;Right;19;1992188;29.45%
L3;Olfactory Bulb;Whole;14;4023438;37.15%
L3;Rest of Brain;Whole;138;8950000;30.64%
M0;Cerebellum;Whole;58;40621875;92.32%
M0;Cortex (Anterior);Left;8;1671875;40.31%
M0;Cortex (Anterior);Right;7;2414063;39.96%
M0;Cortex (Anterior);Whole;15;4085938;40.10%
M0;Cortex (Posterior);Left;61;7039062;53.03%
M0;Cortex (Posterior);Right;62;7543750;45.03%
M0;Cortex (Posterior);Whole;123;14582812;48.89%
M0;Hippocampus;Left;13;2068750;45.35%
M0;Hippocampus;Right;12;2043750;38.64%
M0;Olfactory Bulb;Whole;9;5596875;53.14%
M0;Rest of Brain;Whole;0.12;13500000;29.09%
M1;Cerebellum;Whole;0.06;34075000;90.06%
M1;Cortex (Anterior);Left;13;2312500;36.56%
M1;Cortex (Anterior);Right;15;2562500;42.97%
M1;Cortex (Anterior);Whole;28;4875000;39.93%
M1;Cortex (Posterior);Left;76;8868750;48.05%
M1;Cortex (Posterior);Right;65;7790625;43.11%
M1;Cortex (Posterior);Whole;141;16659375;45.74%
M1;Hippocampus;Left;19;2475000;36.22%
M1;Hippocampus;Right;19;2193750;35.88%
